127.0.0.1 - - [31/Aug/2016:10:56:31 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/ HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/css/app.css HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/css/normalize.css HTTP/1.1" 200 8223
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/american.jpg HTTP/1.1" 200 30805
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/chinese.jpg HTTP/1.1" 200 47232
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/italian.jpg HTTP/1.1" 200 60699
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/mexican.jpg HTTP/1.1" 200 19642
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/sushi.jpg HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/thai.jpg HTTP/1.1" 200 81104
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/indian.jpg HTTP/1.1" 200 40050
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/pizza.jpg HTTP/1.1" 200 35057
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:32 -0600] "GET /restaurants/imgs/mediterranean.jpg HTTP/1.1" 200 44650
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/ HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/css/normalize.css HTTP/1.1" 200 8223
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/css/app.css HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/american.jpg HTTP/1.1" 200 30805
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/sushi.jpg HTTP/1.1" 200 16278
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/thai.jpg HTTP/1.1" 200 81104
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/chinese.jpg HTTP/1.1" 200 47232
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/italian.jpg HTTP/1.1" 200 60699
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/mexican.jpg HTTP/1.1" 200 19642
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/pizza.jpg HTTP/1.1" 200 35057
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/indian.jpg HTTP/1.1" 200 40050
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:41 -0600] "GET /restaurants/imgs/mediterranean.jpg HTTP/1.1" 200 44650
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:42 -0600] "GET /restaurants/getCuisine.do?cuisine=American HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:44 -0600] "GET /restaurants/getCuisine.do?cuisine=Chinese HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:48 -0600] "GET /restaurants/getCuisine.do?cuisine=Italian HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:51 -0600] "GET /restaurants/getCuisine.do?cuisine=Mexican HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:53 -0600] "GET /restaurants/getCuisine.do?cuisine=Pizza HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:55 -0600] "GET /restaurants/getCuisine.do?cuisine=Sushi HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:56:58 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 10976
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:02 -0600] "GET /restaurants/newRestaurant.do HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:10 -0600] "POST /restaurants/createRestaurant.do HTTP/1.1" 200 4594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:17 -0600] "POST /restaurants/addAddress.do HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:17 -0600] "GET /restaurants/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:17 -0600] "GET /restaurants/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:18 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 11148
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/american.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/chinese.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/italian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/mexican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/pizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/thai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/mediterranean.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/indian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:29 -0600] "GET /restaurants/editRestaurants.do HTTP/1.1" 200 21583
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:32 -0600] "GET /restaurants/editRestaurant.do?id=1 HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:38 -0600] "POST /restaurants/updateRestaurant.do HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:40 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 11136
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:43 -0600] "GET /restaurants/editRestaurants.do HTTP/1.1" 200 21571
